Name,Pass,Ikon,Epic,otherMultiResortPass,Famous,state,summit,drop,base,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total,Runs,Terrain Parks,Longest Run,Skiable Terrain,Snow Making,daysOpenLastYear,projectedDaysOpen,"Avg(daysOpenLastYear, projectedDaysOpen)",NightSkiing,Night Skiing,mi Pistes,MI Night Skiing,mi Snow Making,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,Url,adultWeekdayPriceNote,adultWeekendPriceNote,fastEightNote,snowfallNote,yearOpenNote,daysOpenNote
Sugarloaf,1,1,0,0,1,Maine,4237,2820,1417,0,0,0,2,3,1,5,2,13,162,4,3.5,1240,618,159,155,157,0,,,,,68,200,99,99,http://www.onthesnow.com/maine/sugarloaf/ski-resort.html,,,,,,
Sunday River,1,1,0,0,0,Maine,3140,2340,800,1,0,0,4,5,3,1,1,15,135,5,3,870,552,165,169,167,1,140,,,,60,167,105,105,http://www.onthesnow.com/maine/sunday-river/ski-resort.html,,,,,,
Wisp,0,0,0,0,0,Maryland,3115,700,2415,0,0,0,0,2,5,0,5,12,34,3,1.5,172,118,121,120,120.5,1,118,,,,64,100,59,79,http://www.onthesnow.com/maryland/wisp/ski-resort.html,,,Check fast eight lift info.,,,
Berkshire East,0,0,0,0,0,Massachusetts,1720,1180,540,0,0,0,0,2,1,1,2,6,47,2,2,180,165,120,120,120,1,80,,,,68,120,48,68,http://www.onthesnow.com/massachusetts/berkshire-east/ski-resort.html,,,Check fast eight lift info.,,,
Blandford Ski Area,0,0,0,0,0,Massachusetts,1685,465,1035,0,0,0,0,0,0,3,2,5,29,2,0.5,132,70,,106,106,1,70,,,,83,50,20,45,http://www.onthesnow.com/massachusetts/blandford-ski-area/ski-resort.html,,,,,,Check days info
Blue Hills Ski Area,0,0,0,0,0,Massachusetts,635,309,326,0,0,0,0,0,0,1,3,4,16,1,,60,60,,99,99,0,,,,,19,,40,45,http://www.onthesnow.com/massachusetts/blue-hills-ski-area/ski-resort.html,,,,Check snowfall info.,,Check days info
Bousquet Ski Area,0,0,0,0,0,Massachusetts,1875,750,1125,0,0,0,0,0,0,3,2,5,23,1,1,200,98,,65,65,1,100,,,,19,83,25,49,http://www.onthesnow.com/massachusetts/bousquet-ski-area/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Bradford Ski Area,0,0,0,0,0,Massachusetts,1548,248,1300,0,0,0,0,0,2,0,8,10,15,1,0.3,48,48,,96,96,0,,,,,71,,37,55,http://www.onthesnow.com/massachusetts/bradford-ski-area/ski-resort.html,,,Check fast eight lift info.,Check snowfall info.,,Check days info
Jiminy Peak,0,0,0,0,0,Massachusetts,2380,1150,1230,0,0,1,0,2,3,1,2,9,45,3,2,167,163,121,120,120.5,1,104,,,,71,90,81,81,http://www.onthesnow.com/massachusetts/jiminy-peak/ski-resort.html,,,,,,
Nashoba Valley,0,0,0,0,0,Massachusetts,440,240,200,0,0,0,0,0,3,1,7,11,17,2,0.5,52,52,112,126,119,1,52,,,,55,55,48,58,http://www.onthesnow.com/massachusetts/nashoba-valley/ski-resort.html,,,Check fast eight lift info.,,,
Otis Ridge Ski Area,0,0,0,0,0,Massachusetts,1700,400,1300,0,0,0,0,0,0,1,3,4,11,1,1,60,55,106,106,106,1,35,,,,73,70,20,40,http://www.onthesnow.com/massachusetts/otis-ridge-ski-area/ski-resort.html,,,Check fast eight lift info.,,,
Ski Butternut,0,0,0,0,0,Massachusetts,1800,1000,800,0,0,0,0,3,1,1,6,11,22,2,1.5,110,110,107,110,108.5,0,,,,14,56,115,25,60,http://www.onthesnow.com/massachusetts/ski-butternut/ski-resort.html,,,,,,
Ski Ward,0,0,0,0,0,Massachusetts,420,210,210,0,0,0,0,0,1,0,3,4,11,1,0.2,45,45,105,120,112.5,1,38,,,,50,80,39,55,http://www.onthesnow.com/massachusetts/ski-ward/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,,,,
Wachusett Mountain Ski Area,0,0,0,0,0,Massachusetts,2006,1000,1006,0,0,0,3,0,1,0,4,8,27,2,1.5,112,112,,120,120,1,104,5.8,,,57,100,65,71,http://www.onthesnow.com/massachusetts/wachusett-mountain-ski-area/ski-resort.html,,,,,,Check days info
Alpine Valley Ski Area,0,0,0,0,0,Michigan,500,240,126,0,0,0,0,1,2,5,6,14,25,3,0.2,100,100,,128,128,1,100,,,,57,20,39,47,http://www.onthesnow.com/michigan/alpine-valley-ski-area/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Apple Mountain,0,0,0,0,0,Michigan,820,220,600,0,0,0,0,1,0,0,5,6,12,0,,80,42,,75,75,1,80,,,,58,52,35,35,http://www.onthesnow.com/michigan/apple-mountain/ski-resort.html,,,,,,Check days info
Big Powderhorn Mountain,0,0,0,0,0,Michigan,1800,600,1200,0,0,0,0,0,0,9,1,10,45,2,1,253,228,100,108,104,0,,,,,55,214,69,69,http://www.onthesnow.com/michigan/big-powderhorn-mountain/ski-resort.html,,,,,,
Bittersweet Ski Area,0,0,0,0,0,Michigan,850,350,450,0,0,0,0,1,7,0,4,12,20,2,0.2,100,100,80,,80,1,100,,,,36,90,38,48,http://www.onthesnow.com/michigan/bittersweet-ski-area/ski-resort.html,,,,,,Check days info
Big Snow Resort - Blackjack,0,0,0,0,0,Michigan,850,465,385,0,0,0,0,0,0,4,2,6,26,2,1,170,86,95,115,105,0,,,,,42,210,49,65,http://www.onthesnow.com/michigan/blackjack-ski-resort/ski-resort.html,,,,,,
Boyne Highlands,1,1,0,0,0,Michigan,1290,552,745,0,0,0,1,3,4,0,2,10,55,4,1.2,435,400,97,120,108.5,1,150,,,,56,140,78,98,http://www.onthesnow.com/michigan/boyne-highlands/ski-resort.html,,,Check fast eight lift info.,,,
Boyne Mountain Resort,1,1,0,0,0,Michigan,1120,500,620,0,0,1,0,4,3,2,2,12,60,7,1,415,380,122,130,126,1,200,,,,71,140,78,78,http://www.onthesnow.com/michigan/boyne-mountain-resort/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,,,
Caberfae Peaks,0,0,0,0,0,Michigan,1569,485,1060,0,0,0,0,1,2,1,1,5,34,2,1.2,200,200,118,130,124,1,150,,,,82,140,39,49,http://www.onthesnow.com/michigan/caberfae-peaks-ski-golf-resort/ski-resort.html,,,Check fast eight lift info.,,,
Cannonsburg,0,0,0,0,0,Michigan,1100,250,850,0,0,0,0,1,1,1,7,10,21,5,0.1,100,0,100,100,100,0,,,,,54,100,30,37,http://www.onthesnow.com/michigan/cannonsburg/ski-resort.html,,,Check fast eight lift info.,,,
Crystal Mountain,0,0,0,0,0,Michigan,1132,375,757,0,0,0,1,3,2,0,2,8,58,3,0.3,102,96,120,135,127.5,1,56,56.5,,,63,132,54,64,http://www.onthesnow.com/michigan/crystal-mountain/ski-resort.html,,,,,,
Big Snow Resort - Indianhead Mountain,0,0,0,0,0,Michigan,1935,638,1297,0,0,0,0,1,1,5,2,9,32,2,1,240,150,120,120,120,0,,,,,60,204,49,49,http://www.onthesnow.com/michigan/indianhead-mountain/ski-resort.html,,,Check fast eight lift info.,,,
Marquette Mountain,0,0,0,0,0,Michigan,1357,600,757,0,0,0,0,0,1,2,1,4,35,3,0.7,169,143,139,135,137,1,89,,,,60,210,36,54,http://www.onthesnow.com/michigan/marquette-mountain/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,,,
Mont Ripley,0,0,0,0,0,Michigan,1140,440,700,0,0,0,0,0,0,2,2,4,25,2,0.8,112,112,114,100,107,1,100,,,,83,275,49,49,http://www.onthesnow.com/michigan/mont-ripley/ski-resort.html,,,Check fast eight lift info.,,,
Mount Bohemia,0,0,0,0,0,Michigan,1500,900,600,0,0,0,0,0,1,1,0,2,102,0,2.3,585,0,83,100,91.5,0,,,,,19,273,68,68,http://www.onthesnow.com/michigan/mount-bohemia/ski-resort.html,,,Check fast eight lift info.,,,
Mt. Brighton,1,0,1,0,0,Michigan,1330,230,1100,0,0,0,0,2,3,0,8,13,25,5,0.1,130,130,111,100,105.5,1,130,,,,59,60,52,59,http://www.onthesnow.com/michigan/mount-brighton/ski-resort.html,,,Check fast eight lift info.,,,
Mt. Holiday Ski Area,0,0,0,0,0,Michigan,440,200,240,0,0,0,0,0,0,2,2,4,12,0,0.1,45,45,100,90,95,1,45,,,,70,120,22,34,http://www.onthesnow.com/michigan/mount-holiday-ski-area/ski-resort.html,,,Check fast eight lift info.,,,
Mount Holly,0,0,0,0,0,Michigan,1105,350,755,0,0,0,1,2,3,1,6,13,19,0,0.1,100,100,,102,102,1,100,,,,63,42,37,45,http://www.onthesnow.com/michigan/mount-holly/ski-resort.html,,,,,,Check days info
Mulligan's Hollow Ski Bowl,0,0,0,0,0,Michigan,700,130,570,0,0,0,0,0,0,0,5,5,6,0,0.2,10,10,,92,92,1,10,,,,19,60,15,20,http://www.onthesnow.com/michigan/mulligans-hollow-ski-bowl/ski-resort.html,,,Check fast eight lift info.,,,Check days info
Norway Mountain,0,0,0,0,0,Michigan,1335,500,835,0,0,0,0,0,1,2,3,6,17,1,1.4,186,186,110,110,110,1,40,,,,45,100,45,45,http://www.onthesnow.com/michigan/norway-mountain/ski-resort.html,Check adult weekday price info.,,Check fast eight lift info.,,,
Nubs Nob Ski Area,0,0,0,0,0,Michigan,1338,427,911,0,0,0,0,3,4,2,1,10,53,3,0.9,248,248,133,130,131.5,1,160,,,,61,135,65,85,http://www.onthesnow.com/michigan/nubs-nob-ski-area/ski-resort.html,,,Check fast eight lift info.,,,
Pine Knob Ski Resort,0,0,0,0,0,Michigan,1308,300,1009,0,0,0,0,0,0,0,6,6,14,3,1,80,80,,128,128,0,,,,,,,49,57,http://www.onthesnow.com/michigan/pine-knob-ski-resort/ski-resort.html,,,,Check snowfall info.,,Check days info
Pine Mountain,0,0,0,0,0,Michigan,1650,500,1150,0,0,0,0,0,1,2,1,4,28,1,0.5,160,160,110,126,118,1,80,,,,80,60,,45,http://www.onthesnow.com/michigan/pine-mountain/ski-resort.html,Check adult weekday price info.,,,,,
Schuss Mountain at Shanty Creek,0,0,0,0,0,Michigan,1125,450,675,0,0,0,0,5,0,0,3,8,42,3,1,70,70,94,111,102.5,1,70,,,,57,160,58,78,http://www.onthesnow.com/michigan/shanty-creek/ski-resort.html,,,,,,
Ski Brule,0,0,0,0,0,Michigan,1860,500,1360,0,0,0,0,0,0,5,7,12,17,3,1,150,150,164,165,164.5,1,40,,,,62,150,49,49,http://www.onthesnow.com/michigan/ski-brule/ski-resort.html,,,,,,
Snow Snake Mountain Ski Area,0,0,0,0,0,Michigan,1230,210,1020,0,0,0,0,0,1,0,5,6,12,2,0,40,40,,106,106,1,40,,,,72,,30,35,http://www.onthesnow.com/michigan/snow-snake-mountain-ski-area/ski-resort.html,,,Check fast eight lift info.,Check snowfall info.,,Check days info
Swiss Valley,0,0,0,0,0,Michigan,1200,225,975,0,0,0,0,2,1,0,4,7,11,2,0.1,60,60,89,80,84.5,1,60,,,,51,60,32,42,http://www.onthesnow.com/michigan/swiss-valley/ski-resort.html,,,Check fast eight lift info.,,,
The Homestead,0,0,0,0,0,Michigan,900,320,580,0,0,0,0,0,2,1,2,5,15,1,0.2,16,16,47,42,44.5,1,16,,,,34,150,50,50,http://www.onthesnow.com/michigan/the-homestead/ski-resort.html,,,Check fast eight lift info.,,,
Timber Ridge,0,0,0,0,0,Michigan,850,250,600,0,0,0,0,1,1,2,4,8,16,2,0.3,50,50,80,,80,1,50,,,,58,,35,45,http://www.onthesnow.com/michigan/timber-ridge/ski-resort.html,,,Check fast eight lift info.,Check snowfall info.,,Check days info
Treetops Resort,0,0,0,0,0,Michigan,1345,225,1120,0,0,0,0,0,3,0,2,5,23,3,0.2,80,80,63,101,82,1,80,,,,65,175,,,http://www.onthesnow.com/michigan/treetops-resort/ski-resort.html,Check adult weekday price info.,Check adult weekday price info.,Check fast eight lift info.,,,
Afton Alps,1,0,1,0,0,Minnesota,1530,350,1180,0,0,0,0,1,3,14,4,22,48,5,0.5,250,250,135,135,135,1,250,,,,56,60,55,60,http://www.onthesnow.com/minnesota/afton-alps/ski-resort.html,,,,,,
Andes Tower Hills Ski Area,0,0,0,0,0,Minnesota,1620,290,1330,0,0,0,0,1,2,0,3,6,15,2,0.2,35,35,100,110,105,1,35,,,,38,55,45,45,http://www.onthesnow.com/minnesota/andes-tower-hills-ski-area/ski-resort.html,,,,,,
Buck Hill,1,0,0,1,0,Minnesota,1225,309,919,0,0,0,0,2,1,0,5,8,16,0,0.2,45,45,115,112,113.5,1,45,,,,65,60,34,47,http://www.onthesnow.com/minnesota/buck-hill/ski-resort.html,,,Check fast eight lift info.,,,
Buena Vista Ski Area,0,0,0,0,0,Minnesota,1510,230,1280,0,0,0,0,0,2,2,2,6,17,0,0.3,30,30,57,60,58.5,1,30,,,,70,78,44,44,http://www.onthesnow.com/minnesota/buena-vista-ski-area/ski-resort.html,,,Check fast eight lift info.,,,
Coffee Mill Ski & Snowboard Resort,0,0,0,0,0,Minnesota,1150,425,725,0,0,0,0,0,0,2,1,3,14,1,1,40,35,57,56,56.5,1,35,,,,39,48,23,37,http://www.onthesnow.com/minnesota/coffee-mill-ski-snowboard-resort/ski-resort.html,,,,,,
Elm Creek Winter Recreation Area,0,0,0,0,0,Minnesota,928,60,868,0,0,0,0,0,0,0,3,3,3,0,1,15,20,105,102,103.5,1,15,,,,13,45,17,17,http://www.onthesnow.com/minnesota/elm-creek/ski-resort.html,,,Check fast eight lift info.,,,
Giants Ridge Resort,0,0,0,0,0,Minnesota,1972,500,1472,0,0,0,1,1,1,2,2,7,35,2,0.8,202,202,120,125,122.5,1,121,,,,35,85,49,58,http://www.onthesnow.com/minnesota/giants-ridge-resort/ski-resort.html,,,Check fast eight lift info.,,,
Hyland Ski & Snowboard Area,0,0,0,0,0,Minnesota,1075,175,900,0,0,0,0,2,1,0,5,8,14,1,1,35,35,110,115,112.5,1,35,,,,61,55,35.34,35.34,http://www.onthesnow.com/minnesota/hyland-ski-snowboard-area/ski-resort.html,,,,,,
Lutsen Mountains,0,0,0,0,0,Minnesota,1688,825,800,1,0,1,0,0,1,4,1,8,62,2,2,393,231,135,127,131,0,,,,,71,120,84,84,http://www.onthesnow.com/minnesota/lutsen-mountains/ski-resort.html,,,,,,
Mount Kato Ski Area,0,0,0,0,0,Minnesota,540,240,300,0,0,0,0,5,0,3,2,10,19,4,1,55,55,115,120,117.5,1,50,,,,43,50,34,46,http://www.onthesnow.com/minnesota/mount-kato-ski-area/ski-resort.html,,,Check fast eight lift info.,,,
